Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
331	Greg Monroe	C	28	TOR	36	2	10.7	1.8	4.0	.455	0.0	0.1	.000	1.8	3.9	.468	.455	0.9	1.6	.561	1.5	2.4	3.9	0.4	0.3	0.2	0.8	1.5	4.6
332	E'Twaun Moore	SF	29	NOP	44	35	29.4	5.0	10.4	.483	1.4	3.3	.417	3.7	7.1	.513	.548	0.9	1.1	.760	0.8	1.8	2.5	2.0	0.8	0.2	1.1	2.3	12.3
333	Eric Moreland	PF	27	PHO	1	0	5.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0
334	Jaylen Morris	SG	23	MIL	4	0	7.3	1.0	2.5	.400	0.3	0.8	.333	0.8	1.8	.429	.450	0.3	0.5	.500	0.0	1.3	1.3	1.0	0.5	0.0	0.3	0.3	2.5
335	Marcus Morris	PF	29	BOS	48	31	27.4	5.3	11.1	.477	2.2	5.2	.419	3.1	5.9	.528	.575	2.0	2.3	.870	0.9	5.2	6.1	1.4	0.6	0.3	1.3	2.5	14.7
336	Markieff Morris	PF	29	WAS	34	15	26.0	4.2	9.6	.436	1.4	4.2	.333	2.8	5.4	.516	.509	1.7	2.1	.781	1.2	3.9	5.1	1.8	0.7	0.6	1.4	3.4	11.5
337	Monte Morris	PG	23	DEN	52	4	24.9	4.3	8.7	.489	1.2	2.8	.444	3.0	6.0	.510	.559	0.7	0.9	.792	0.4	2.2	2.7	3.9	0.9	0.0	0.7	1.2	10.5
338	Johnathan Motley	PF	23	LAC	12	0	6.9	1.8	3.7	.500	0.0	0.2	.000	1.8	3.5	.524	.500	1.2	1.9	.609	1.1	1.1	2.2	0.4	0.2	0.1	0.8	1.1	4.8
339	Emmanuel Mudiay	PG	22	NYK	39	32	26.6	5.6	12.4	.453	1.1	3.4	.308	4.6	9.0	.509	.496	2.4	3.2	.760	0.6	2.4	3.1	3.9	0.8	0.3	2.1	1.8	14.7
340	Jamal Murray	PG	21	DEN	47	46	33.5	7.0	16.1	.432	1.9	5.3	.365	5.0	10.9	.465	.492	2.6	3.1	.836	1.0	3.4	4.4	4.9	0.8	0.4	2.4	2.1	18.5
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
341	Dzanan Musa	SG	19	BRK	7	0	3.7	0.9	2.0	.429	0.0	0.9	.000	0.9	1.1	.750	.429	0.0	0.3	.000	0.1	0.3	0.4	0.1	0.3	0.0	0.4	0.1	1.7
342	Mike Muscala	PF	27	PHI	46	5	21.9	2.3	6.0	.393	1.5	4.3	.345	0.9	1.7	.513	.516	1.2	1.5	.814	1.1	3.2	4.3	1.3	0.4	0.6	0.9	2.4	7.4
343	Sviatoslav Mykhailiuk	SF	21	LAL	38	0	10.7	1.1	3.4	.333	0.7	2.2	.321	0.4	1.2	.356	.438	0.2	0.4	.563	0.2	0.6	0.8	0.8	0.3	0.0	0.5	0.7	3.2
344	Abdel Nader	SF	25	OKC	33	1	9.7	1.5	3.3	.463	0.5	1.2	.366	1.1	2.0	.522	.532	0.4	0.5	.800	0.2	1.6	1.8	0.3	0.2	0.1	0.4	1.1	3.8
345	Larry Nance	C	26	CLE	43	17	25.3	3.5	6.6	.527	0.3	1.0	.317	3.2	5.6	.562	.549	1.5	2.1	.711	2.2	5.4	7.6	3.0	1.4	0.7	1.3	2.8	8.7
346	Shabazz Napier	PG	27	BRK	42	1	17.7	3.1	7.9	.396	1.4	3.9	.368	1.7	4.0	.423	.486	2.2	2.7	.825	0.3	1.5	1.8	2.3	0.8	0.3	1.2	1.2	9.9
347	Raul Neto	PG	26	UTA	19	1	12.0	1.9	3.7	.514	0.5	1.4	.333	1.4	2.3	.628	.579	0.7	0.7	.929	0.1	1.4	1.5	2.0	0.4	0.0	0.9	1.1	4.9
348	Georges Niang	PF	25	UTA	40	0	7.6	1.1	2.6	.431	0.7	1.8	.400	0.4	0.8	.500	.569	0.2	0.3	.818	0.2	1.2	1.3	0.5	0.2	0.1	0.3	0.9	3.1
349	Joakim Noah	C	33	MEM	25	0	13.2	1.8	3.7	.478	0.0	0.0		1.8	3.7	.478	.478	1.0	1.6	.634	1.2	3.3	4.5	1.3	0.4	0.6	1.1	1.7	4.6
350	Nerlens Noel	C	24	OKC	47	2	14.4	2.2	3.7	.580	0.0	0.0		2.2	3.7	.580	.580	0.7	1.0	.729	1.7	2.9	4.6	0.5	1.0	1.4	0.6	2.3	5.1
351	Dirk Nowitzki	PF	40	DAL	21	0	10.2	1.5	4.3	.344	0.8	2.7	.298	0.7	1.6	.424	.439	0.4	0.5	.818	0.0	1.8	1.8	0.3	0.0	0.3	0.2	1.3	4.2
352	Frank Ntilikina	PG	20	NYK	41	16	21.3	2.3	6.7	.342	0.8	2.7	.291	1.5	4.0	.376	.400	0.5	0.7	.750	0.2	1.8	2.0	2.8	0.7	0.3	1.3	2.4	5.9
353	James Nunnally	SF	28	TOT	15	0	6.8	0.8	2.3	.353	0.5	1.7	.320	0.3	0.6	.444	.471	0.3	0.3	1.000	0.0	0.3	0.3	0.5	0.1	0.0	0.1	0.7	2.4
353	James Nunnally	SF	28	MIN	13	0	4.9	0.7	1.6	.429	0.4	1.0	.385	0.3	0.6	.500	.548	0.3	0.3	1.000	0.0	0.3	0.3	0.4	0.1	0.0	0.1	0.3	2.1
353	James Nunnally	SF	28	HOU	2	0	19.0	1.5	6.5	.231	1.5	6.0	.250	0.0	0.5	.000	.346	0.0	0.0		0.0	0.5	0.5	1.0	0.0	0.0	0.0	3.0	4.5
354	Jusuf Nurkic	C	24	POR	51	51	27.4	5.7	11.3	.501	0.1	0.5	.120	5.6	10.8	.518	.503	3.8	5.0	.753	3.4	7.0	10.4	3.2	1.1	1.6	2.3	3.3	15.2
355	David Nwaba	SG	26	CLE	22	6	16.4	2.1	4.8	.448	0.4	1.6	.257	1.7	3.2	.543	.490	1.5	2.5	.630	0.5	2.3	2.8	0.7	0.6	0.3	0.4	1.7	6.2
356	Royce O'Neale	SF	25	UTA	54	9	18.3	1.8	3.9	.462	0.7	1.8	.389	1.1	2.1	.522	.550	0.4	0.6	.727	0.3	3.0	3.3	1.3	0.7	0.3	0.9	1.9	4.7
357	Kyle O'Quinn	C	28	IND	28	0	7.1	1.3	2.6	.473	0.0	0.4	.100	1.2	2.3	.531	.480	0.3	0.4	.900	0.6	1.8	2.4	1.1	0.1	0.5	0.6	1.3	2.9
358	Semi Ojeleye	PF	24	BOS	38	2	10.3	1.2	2.9	.420	0.5	1.7	.292	0.7	1.2	.596	.504	0.4	0.5	.700	0.4	1.1	1.6	0.3	0.2	0.1	0.3	0.7	3.3
359	Jahlil Okafor	C	23	NOP	34	10	13.5	3.1	5.3	.587	0.0	0.0	.000	3.1	5.2	.590	.587	1.0	1.4	.723	1.5	2.9	4.4	0.5	0.2	0.7	0.7	1.8	7.2
360	Elie Okobo	PG	21	PHO	36	8	18.6	2.3	5.9	.390	0.8	2.6	.301	1.5	3.3	.458	.455	0.7	0.8	.833	0.2	1.8	2.0	2.6	0.6	0.1	1.3	2.3	6.1
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
361	Josh Okogie	SG	20	MIN	44	22	22.0	2.4	6.7	.355	0.8	3.0	.250	1.6	3.7	.439	.410	1.7	2.3	.747	0.5	2.4	2.9	1.2	0.9	0.4	0.9	2.3	7.2
362	Victor Oladipo	SG	26	IND	36	36	31.9	6.9	16.3	.423	2.1	6.0	.343	4.9	10.3	.470	.486	2.9	3.9	.730	0.6	5.0	5.6	5.2	1.7	0.3	2.3	2.0	18.8
363	Kelly Olynyk	PF	27	MIA	48	5	20.2	3.0	6.5	.457	1.4	4.1	.342	1.5	2.3	.661	.566	1.8	2.3	.777	0.9	3.5	4.4	1.6	0.6	0.3	1.4	2.2	9.1
364	Cedi Osman	SF	23	CLE	51	50	31.5	4.6	10.8	.424	1.5	4.7	.324	3.1	6.1	.502	.495	1.9	2.5	.758	0.6	4.1	4.6	2.3	0.8	0.2	1.7	2.6	12.6
365	Kelly Oubre	SF	23	TOT	52	7	26.7	4.8	11.2	.428	1.5	4.8	.316	3.3	6.4	.512	.496	2.5	3.2	.787	0.9	3.5	4.4	1.0	1.0	0.9	1.3	2.6	13.6
365	Kelly Oubre	SF	23	WAS	29	7	26.0	4.6	10.5	.433	1.4	4.6	.311	3.1	6.0	.526	.500	2.3	2.9	.800	0.8	3.6	4.4	0.7	0.9	0.7	1.0	2.4	12.9
365	Kelly Oubre	SF	23	PHO	23	0	27.4	5.1	12.0	.422	1.7	5.1	.322	3.4	6.9	.497	.491	2.7	3.4	.772	1.0	3.4	4.4	1.4	1.0	1.1	1.6	2.8	14.5
366	Zaza Pachulia	C	34	DET	41	3	14.9	1.4	3.3	.437	0.0	0.1	.000	1.4	3.2	.450	.437	1.7	2.2	.769	1.9	2.8	4.8	1.5	0.7	0.3	0.9	2.4	4.6
367	Jabari Parker	PF	23	CHI	39	17	26.7	5.6	11.9	.474	0.9	2.9	.325	4.7	9.0	.523	.514	2.0	2.8	.731	1.1	5.1	6.2	2.2	0.6	0.4	2.2	2.2	14.3
368	Tony Parker	PG	36	CHO	45	0	18.4	3.8	8.4	.458	0.2	0.9	.231	3.6	7.5	.484	.470	1.8	2.5	.730	0.2	1.2	1.5	3.9	0.4	0.1	1.3	1.0	9.7
369	Chandler Parsons	SF	30	MEM	3	3	15.3	2.3	5.7	.412	1.0	3.3	.300	1.3	2.3	.571	.500	0.0	0.0		0.3	1.0	1.3	0.7	0.3	0.3	0.7	2.3	5.7
370	Patrick Patterson	PF	29	OKC	51	3	14.6	1.5	3.8	.379	0.8	2.4	.341	0.6	1.4	.444	.487	0.4	0.6	.621	0.7	1.7	2.4	0.5	0.3	0.2	0.4	0.7	4.1
371	Chris Paul	PG	33	HOU	29	29	32.5	5.3	12.4	.425	2.0	5.8	.353	3.2	6.7	.487	.507	2.8	3.5	.812	0.6	3.4	4.0	7.9	2.0	0.3	2.9	2.5	15.4
372	Cameron Payne	PG	24	TOT	40	13	17.8	2.4	5.6	.430	0.6	2.1	.298	1.8	3.5	.511	.487	0.8	1.0	.805	0.3	1.5	1.8	2.7	0.7	0.2	1.1	1.6	6.3
372	Cameron Payne	PG	24	CHI	31	12	17.3	2.2	5.4	.411	0.5	1.9	.271	1.7	3.5	.486	.458	0.7	0.8	.880	0.3	1.4	1.7	2.7	0.6	0.2	1.1	1.6	5.7
372	Cameron Payne	PG	24	CLE	9	1	19.6	3.0	6.1	.491	1.0	2.8	.360	2.0	3.3	.600	.573	1.2	1.8	.688	0.3	1.8	2.1	2.6	0.9	0.3	1.2	1.7	8.2
373	Elfrid Payton	PG	24	NOP	19	19	26.9	3.9	9.0	.439	0.7	1.9	.351	3.3	7.1	.463	.477	1.2	1.6	.742	0.7	2.9	3.7	5.8	1.2	0.3	2.4	1.9	9.8
374	Gary Payton	PG	26	WAS	3	0	5.3	1.7	2.7	.625	0.3	0.7	.500	1.3	2.0	.667	.688	0.0	0.0		0.3	0.3	0.7	1.3	1.0	0.3	0.3	0.7	3.7
375	Theo Pinson	SG	23	BRK	10	0	13.5	1.6	4.3	.372	0.7	2.5	.280	0.9	1.8	.500	.453	1.0	1.0	1.000	0.2	1.9	2.1	1.5	0.4	0.0	1.2	0.8	4.9
376	Mason Plumlee	C	28	DEN	52	12	19.7	3.1	5.2	.600	0.0	0.1	.200	3.1	5.1	.608	.602	1.4	2.5	.538	2.0	3.8	5.8	2.6	0.9	0.9	1.5	3.1	7.6
377	Miles Plumlee	C	30	ATL	18	0	9.6	1.8	2.7	.667	0.0	0.0		1.8	2.7	.667	.667	0.9	1.7	.533	0.9	1.3	2.2	0.9	0.3	0.2	0.6	0.8	4.4
378	Jakob Poeltl	C	23	SAS	50	6	14.6	2.2	3.4	.635	0.0	0.0		2.2	3.4	.635	.635	0.7	1.3	.552	2.1	2.6	4.6	1.2	0.2	0.7	0.7	1.5	5.1
379	Quincy Pondexter	SF	30	SAS	39	0	5.6	0.5	1.1	.488	0.2	0.4	.375	0.4	0.7	.556	.558	0.7	0.9	.771	0.2	0.8	1.0	0.5	0.2	0.0	0.3	0.5	1.9
