Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
452	Myles Turner	C	22	IND	47	47	28.3	5.3	10.5	.506	0.8	2.2	.382	4.5	8.3	.538	.546	1.7	2.4	.711	1.4	5.7	7.1	1.7	0.6	2.6	1.4	2.5	13.1
453	Ekpe Udoh	C	31	UTA	33	0	5.6	0.8	1.2	.711	0.0	0.0		0.8	1.2	.711	.711	0.3	0.5	.625	0.3	0.8	1.1	0.4	0.1	0.5	0.2	0.7	1.9
454	Tyler Ulis	PG	23	CHI	1	0	1.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
455	Jonas Valanciunas	C	26	TOR	30	10	18.8	5.0	8.6	.575	0.3	1.0	.300	4.7	7.6	.611	.593	2.6	3.1	.819	1.8	5.4	7.2	1.0	0.4	0.8	1.3	2.7	12.8
456	Jarred Vanderbilt	PF	19	DEN	1	0	4.0	0.0	0.0		0.0	0.0		0.0	0.0			1.0	2.0	.500	0.0	3.0	3.0	1.0	1.0	0.0	1.0	0.0	1.0
457	Fred VanVleet	PG	24	TOR	47	20	26.8	3.7	9.1	.402	1.7	4.5	.368	2.0	4.6	.435	.493	1.5	1.8	.831	0.4	2.3	2.7	4.5	0.9	0.3	1.3	1.8	10.4
458	Noah Vonleh	PF	23	NYK	51	44	26.6	3.0	6.7	.456	0.8	2.2	.360	2.3	4.5	.502	.515	1.8	2.5	.714	1.9	6.7	8.6	2.1	0.8	0.9	1.4	2.7	8.6
459	Nikola Vucevic	C	28	ORL	52	52	31.3	8.7	16.8	.521	1.1	3.0	.378	7.6	13.8	.552	.555	2.1	2.7	.775	2.7	9.3	12.0	3.8	1.0	1.2	2.1	2.0	20.7
460	Dwyane Wade	SG	37	MIA	41	0	25.4	5.1	12.1	.425	1.2	3.7	.329	3.9	8.4	.468	.476	2.3	3.2	.707	0.9	2.8	3.7	4.3	0.7	0.5	2.3	1.7	13.8
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
461	Moritz Wagner	C	21	LAL	19	0	6.6	1.2	2.9	.411	0.5	1.4	.370	0.7	1.5	.448	.500	0.5	0.8	.600	0.4	1.2	1.6	0.4	0.2	0.2	0.5	0.8	3.4
462	Dion Waiters	SG	27	MIA	13	0	19.5	3.2	8.5	.378	1.3	4.8	.270	1.9	3.7	.521	.455	0.1	0.5	.143	0.1	2.2	2.2	2.5	0.5	0.1	0.9	0.8	7.8
463	Kemba Walker	PG	28	CHO	52	52	34.3	8.5	19.7	.432	3.2	8.8	.359	5.3	10.9	.492	.513	4.4	5.3	.823	0.5	3.7	4.3	5.6	1.2	0.5	2.6	1.6	24.6
464	Lonnie Walker	SG	20	SAS	4	0	7.3	1.0	2.8	.364	0.5	1.0	.500	0.5	1.8	.286	.455	0.0	0.0		0.0	1.8	1.8	0.3	0.3	0.3	0.3	0.8	2.5
465	John Wall	PG	28	WAS	32	32	34.5	7.7	17.3	.444	1.6	5.3	.302	6.1	12.0	.507	.490	3.8	5.5	.697	0.5	3.2	3.6	8.7	1.5	0.9	3.8	2.2	20.7
466	Tyrone Wallace	PG	24	LAC	40	0	10.0	1.6	3.7	.432	0.1	0.3	.154	1.5	3.3	.459	.438	0.5	1.0	.487	0.4	1.2	1.6	0.5	0.4	0.2	0.4	1.4	3.7
467	Taurean Waller-Prince	SF	24	ATL	31	23	27.4	4.7	10.9	.432	2.0	5.6	.360	2.7	5.3	.509	.525	1.8	2.2	.826	0.5	3.4	3.8	1.9	1.1	0.4	2.0	2.8	13.3
468	Brad Wanamaker	PG	29	BOS	23	0	9.0	1.2	2.8	.438	0.7	1.2	.536	0.6	1.6	.361	.555	0.6	0.6	.929	0.1	0.9	1.0	1.4	0.4	0.0	0.6	0.7	3.7
469	T.J. Warren	SF	25	PHO	43	36	31.6	6.9	14.2	.486	1.8	4.2	.428	5.1	10.0	.510	.549	2.3	2.9	.815	0.7	3.3	4.0	1.5	1.2	0.7	1.2	2.8	18.0
470	Julian Washburn	SF	27	MEM	3	0	7.0	0.0	1.0	.000	0.0	0.3	.000	0.0	0.7	.000	.000	0.0	0.0		0.3	1.3	1.7	0.0	0.0	0.0	0.0	0.7	0.0
471	Yuta Watanabe	SG	24	MEM	8	0	6.5	0.6	1.9	.333	0.1	0.6	.200	0.5	1.3	.400	.367	0.4	0.8	.500	0.0	1.3	1.3	0.4	0.1	0.1	0.4	0.3	1.8
472	Thomas Welsh	C	22	DEN	9	0	3.7	0.6	1.1	.500	0.3	0.8	.429	0.2	0.3	.667	.650	0.1	0.2	.500	0.0	0.4	0.4	0.4	0.0	0.0	0.1	0.2	1.6
473	Russell Westbrook	PG	30	OKC	43	43	35.4	8.2	19.6	.418	1.1	4.6	.249	7.1	15.0	.470	.447	3.9	6.1	.645	1.4	9.5	10.9	10.9	2.3	0.3	4.5	3.4	21.5
474	Derrick White	PG	24	SAS	45	33	25.3	3.7	7.4	.500	0.7	1.9	.356	3.0	5.5	.551	.546	1.5	1.9	.770	0.5	2.9	3.4	3.6	1.0	0.5	1.5	2.1	9.6
475	Okaro White	PF	26	WAS	3	0	2.0	0.0	0.7	.000	0.0	0.7	.000	0.0	0.0		.000	0.0	0.0		0.3	0.3	0.7	0.0	0.0	0.0	0.0	0.0	0.0
476	Hassan Whiteside	C	29	MIA	45	45	25.5	5.5	10.0	.546	0.0	0.3	.133	5.4	9.7	.561	.549	1.6	4.0	.416	3.8	8.6	12.4	0.9	0.6	2.2	1.7	2.8	12.7
477	Andrew Wiggins	SF	23	MIN	48	48	34.7	6.5	16.4	.396	1.6	4.8	.336	4.9	11.6	.421	.445	3.2	4.5	.720	1.1	3.5	4.6	2.3	1.1	0.5	1.9	2.0	17.8
478	Alan Williams	PF	26	BRK	2	0	5.0	1.5	2.5	.600	0.0	0.5	.000	1.5	2.0	.750	.600	1.0	2.0	.500	1.0	3.0	4.0	1.0	0.0	0.0	0.5	0.0	4.0
479	C.J. Williams	SG	28	MIN	8	0	8.1	0.9	2.0	.438	0.1	0.9	.143	0.8	1.1	.667	.469	0.0	0.0		0.1	0.4	0.5	0.6	0.1	0.0	0.5	1.4	1.9
480	Johnathan Williams	C	23	LAL	7	0	12.7	1.6	2.9	.550	0.0	0.0		1.6	2.9	.550	.550	0.1	0.7	.200	1.6	1.4	3.0	0.6	0.1	0.6	0.3	2.9	3.3
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
481	Kenrich Williams	SF	24	NOP	17	0	11.1	1.5	3.0	.490	0.5	1.2	.400	1.0	1.8	.548	.569	0.1	0.2	.500	0.5	2.2	2.8	0.6	0.1	0.2	0.5	1.4	3.5
482	Lou Williams	SG	32	LAC	47	0	26.1	6.2	14.7	.420	1.3	3.8	.354	4.8	10.9	.443	.466	5.6	6.2	.897	0.4	2.6	3.0	5.3	0.7	0.1	2.4	1.0	19.2
483	Marvin Williams	PF	32	CHO	51	51	28.1	3.7	8.6	.425	2.0	5.2	.387	1.6	3.4	.483	.542	0.9	1.3	.719	0.9	4.6	5.5	1.2	0.9	0.7	0.5	2.1	10.3
484	Robert Williams	C	21	BOS	22	0	9.0	1.3	1.7	.757	0.0	0.0		1.3	1.7	.757	.757	0.3	0.5	.600	0.9	1.6	2.5	0.2	0.3	1.5	0.4	1.2	2.8
485	Troy Williams	SF	24	SAC	18	0	15.9	2.2	4.8	.460	0.8	2.3	.341	1.4	2.6	.565	.540	0.5	0.8	.600	0.5	2.6	3.1	0.6	0.6	0.4	0.4	1.9	5.7
486	D.J. Wilson	PF	22	MIL	23	0	18.1	2.4	4.9	.491	1.0	2.3	.453	1.3	2.6	.525	.598	0.4	0.9	.450	0.9	3.7	4.6	1.0	0.4	0.7	0.5	2.0	6.2
487	Justise Winslow	PF	22	MIA	46	33	29.4	4.7	11.0	.430	1.4	3.7	.386	3.3	7.3	.452	.495	1.5	2.2	.663	1.0	4.3	5.2	4.1	1.0	0.3	2.2	2.5	12.3
488	Christian Wood	PF	23	MIL	7	0	5.9	1.3	2.7	.474	0.3	0.6	.500	1.0	2.1	.467	.526	0.7	0.9	.833	0.6	1.7	2.3	0.3	0.0	0.0	0.3	0.3	3.6
